iter	RMSE
713	30150.50654
714	30150.38374
715	30149.99298
716	30148.95643
717	30147.83432
718	30147.74484
719	30147.15487
720	30146.09016
721	30145.41626
722	30144.54209
723	30143.87896
724	30143.37373
725	30142.92712
726	30142.09936
727	30141.60474
728	30141.48774
729	30140.47407
730	30140.17988
731	30139.72772
732	30139.25614
733	30137.52735734	30136.62573735	30136.390773736	30135.745573737	30135.060173738	30134.52474739	30133.96574740	30133.264074741	30132.110774742	30131.692574743	30131.06344
744	30130.770474745	30130.481374746	30130.093274747	30130.02776
748	30129.942775749	30129.098875750	30128.78791
751	30128.34816
752	30128.09756
753	30127.21269
754	30126.14102
755	30124.28084
756	30123.63836
757	30123.16143
758	30122.7961
759	30122.56677
760	30122.52414
761	30121.85799
762	30121.36067
763	30120.79667
764	30119.86172
765	30118.52419
766	30117.7686
767	30117.49103
768	30116.78455
769	30116.14876
770	30115.15046
771	30113.95649
772	30113.93534
773	30113.25107
774	30112.58342
775	30112.03147
776	30111.11322
777	30110.25296
778	30109.88349
779	30109.25819
780	30108.91554
781	30107.93483
782	30107.83056
783	30107.61808
784	30107.56045
785	30107.17593
786	30106.68825
787	30105.98519
788	30105.42935
789	30105.19663
790	30104.83623
791	30104.01566
792	30103.34821
793	30102.42229
794	30102.23342
795	30102.025
796	30101.28395
797	30099.74613
798	30099.60023
799	30099.5645
800	30098.62481
801	30098.2497
802	30098.15891
803	30098.07698
804	30097.61484
805	30096.84543
806	30096.51008
807	30096.28119
808	30095.13204
809	30094.74275
810	30094.46391
811	30093.69657
812	30093.1609
813	30092.73002
814	30092.36424
815	30091.70307
816	30091.10411
817	30090.66668
818	30090.46277
819	30090.42341
820	30090.11005
821	30089.59831
822	30088.96054
823	30088.1471
824	30087.77881
825	30087.33793
826	30087.24433
827	30086.61173
828	30085.92341
829	30085.53605
830	30085.5006
831	30085.35853
832	30084.39575
833	30083.97837
834	30083.69468
835	30082.76426
836	30081.94813
837	30081.29885
838	30080.76365
839	30079.76329
840	30079.3297
841	30078.86832
842	30078.5266
843	30078.4068
844	30077.50944
845	30077.13062
846	30076.2984
847	30076.00347
848	30075.08066
849	30074.77939
850	30074.46921
851	30073.7451
852	30073.62057
853	30073.05778
854	30072.56404
855	30072.54028
856	30071.8614
857	30070.68508
858	30070.36573
859	30069.82554
860	30069.22842
861	30068.87385
862	30068.5938
863	30068.37636
864	30067.9297
865	30067.35828
866	30066.57487
867	30066.30693
868	30066.04706
869	30065.57201
870	30065.3816
871	30064.83502
872	30063.91332
873	30063.75383
874	30063.07632
875	30062.65388
876	30061.86664
877	30060.81581
878	30060.29711
879	30059.78397
880	30059.51626
881	30059.47057
882	30058.90973
883	30058.81292
884	30058.23906
885	30058.19389
886	30057.5504
887	30057.19761
888	30056.93943
889	30056.20848
890	30055.48618
891	30055.42482
892	30054.80281
893	30054.00484
894	30053.65235
895	30052.84902
896	30051.93885
897	30051.60962
898	30049.96969
899	30049.7184
900	30049.05386
901	30048.56658
902	30048.20772
903	30047.40633
904	30046.62709
905	30046.52746
906	30046.48288
907	30046.25802
908	30045.51363
909	30045.38907
910	30044.64273
911	30044.16944
912	30043.83339
913	30042.96442
914	30042.44971
915	30042.06325
916	30041.76135
917	30041.33452
918	30040.97615
919	30040.90029
920	30040.80947
921	30039.66424
922	30039.44462
923	30038.50055
924	30037.57537
925	30037.47874
926	30037.25324
927	30037.12906
928	30036.39487
929	30035.9189
930	30035.77053
931	30034.87468
932	30034.15834
933	30033.29003
934	30032.8301
935	30032.81384
936	30032.47511
937	30032.01848
938	30031.41447
939	30030.97973
940	30030.94316
